Model,Feature,Mean Absolute SHAP
Logistic Regression,Sex,0.014950411773939945
Logistic Regression,ALB,0.02825741520953298
Logistic Regression,ALT,0.021747044369337654
Logistic Regression,AST,0.09991048472860938
Logistic Regression,BIL,0.01716240467191749
Logistic Regression,CHE,0.029809155388126226
Logistic Regression,GGT,0.024354334870641516
Logistic Regression,PROT,0.010710682281033227
Random Forest,Sex,0.008330146825396812
Random Forest,ALB,0.015914223544973544
Random Forest,ALT,0.015503201058201056
Random Forest,AST,0.07224451322751321
Random Forest,BIL,0.02592519444444444
Random Forest,CHE,0.014288358465608466
Random Forest,GGT,0.030999912698412693
Random Forest,PROT,0.005958513227513229
XGBoost,Sex,0.01111909514058555
XGBoost,ALB,0.01672620985796274
XGBoost,ALT,0.023177375886833544
XGBoost,AST,0.10391491323956621
XGBoost,BIL,0.018093697349907137
XGBoost,CHE,0.01218507068081116
XGBoost,GGT,0.02857996980615822
XGBoost,PROT,0.004372304457433567
SVM,Sex,0.0285765015182801
SVM,ALB,0.02084156133428625
SVM,ALT,0.027421516307913306
SVM,AST,0.09597109843861967
SVM,BIL,0.00972870117756566
SVM,CHE,0.03193641363211209
SVM,GGT,0.02460961408143727
SVM,PROT,0.015383426120839625
